Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,671.500000,680.500000,659.099976,674.200012,673.175293,20438651
2022-03-10,707.900024,720.400024,688.250000,694.950012,693.893799,23224756
2022-03-11,691.900024,706.650024,687.450012,690.849976,689.799988,14224356
2022-03-14,694.700012,712.400024,685.000000,710.049988,708.970825,10720884
2022-03-15,713.000000,718.000000,695.000000,698.150024,697.088928,12157425
2022-03-16,711.000000,726.000000,709.099976,723.849976,722.749817,10038170
2022-03-17,737.000000,746.750000,736.450012,739.250000,738.126465,13657428
2022-03-21,745.000000,749.400024,723.700012,725.900024,724.796753,7495685
2022-03-22,729.000000,736.000000,706.349976,731.400024,730.288391,11117081
2022-03-23,736.099976,742.900024,724.650024,726.750000,725.645447,5886245
2022-03-24,719.099976,730.450012,719.000000,722.250000,721.152283,7559843
2022-03-25,723.299988,726.650024,715.500000,721.250000,720.153809,5430894
2022-03-28,726.000000,737.900024,715.049988,736.000000,734.881409,7077669
2022-03-29,741.650024,741.650024,731.000000,737.799988,736.678650,6174137
2022-03-30,747.000000,765.849976,741.299988,750.450012,749.309448,16618114
2022-03-31,763.000000,763.000000,751.299988,761.150024,759.993164,20449544
2022-04-01,760.000000,775.750000,755.150024,774.549988,773.372803,9321859
2022-04-04,780.000000,785.500000,767.000000,784.099976,782.908264,10959783
2022-04-05,776.000000,796.000000,776.000000,783.099976,781.909790,7334134
2022-04-06,777.000000,779.950012,769.200012,773.700012,772.524109,9954921
2022-04-07,769.500000,795.000000,769.200012,792.099976,790.896118,9820244
2022-04-08,794.900024,800.700012,789.000000,794.900024,793.691895,8104237
2022-04-11,789.450012,794.250000,784.049988,786.049988,784.855286,6340427
2022-04-12,780.099976,801.000000,777.799988,798.450012,797.236511,7672215
2022-04-13,805.799988,805.799988,790.849976,793.049988,791.844666,7640132
2022-04-18,780.000000,801.650024,776.000000,798.849976,797.635864,11478317
2022-04-19,805.000000,816.200012,785.549988,797.799988,796.587463,8711816
2022-04-20,800.849976,802.450012,788.599976,794.700012,793.492188,6676491
2022-04-21,795.099976,804.000000,790.549988,801.799988,800.581360,6851615
2022-04-22,796.000000,798.000000,778.200012,780.599976,779.413574,6255027
2022-04-25,772.000000,788.799988,761.250000,780.700012,779.513489,8023525
2022-04-26,791.000000,796.599976,769.000000,775.000000,773.822083,11087204
2022-04-27,765.599976,772.950012,749.000000,765.900024,764.735962,11485697
2022-04-28,776.900024,785.450012,766.349976,779.799988,778.614807,11037317
2022-04-29,765.000000,766.849976,725.000000,728.599976,727.492615,34401710
2022-05-02,722.000000,738.200012,718.500000,727.349976,726.244507,16136040
2022-05-04,733.000000,735.150024,704.000000,707.200012,706.125183,14548684
2022-05-05,716.000000,721.799988,698.900024,702.349976,701.282532,12726146
2022-05-06,690.000000,692.500000,668.099976,673.400024,672.376526,15511195
2022-05-09,660.200012,669.000000,648.799988,663.700012,662.691284,13999329
2022-05-10,663.700012,672.099976,657.549988,659.750000,658.747253,9523698
2022-05-11,661.700012,676.000000,655.450012,672.349976,671.328125,9352398
2022-05-12,667.000000,667.000000,644.000000,649.650024,648.662659,11166084
2022-05-13,656.400024,659.400024,633.400024,635.950012,634.983459,9618627
2022-05-16,639.849976,649.200012,630.049988,638.950012,637.978882,6159695
2022-05-17,642.900024,657.500000,641.150024,654.950012,653.954590,8152237
2022-05-18,654.750000,670.400024,650.299988,659.450012,658.447754,13013873
